date,hour_of_day,DT_wait_time,POC_wait_time,SM_wait_time
2015-02-07,17.0,99.17,35.38,28.08
2015-02-07,18.0,91.67,31.67,18.75
2015-02-07,19.0,56.67,26.67,10.42
2015-02-07,20.0,61.15,24.17,10.0
2015-02-07,21.0,53.33,13.08,5.83
2015-02-07,22.0,51.67,5.0,5.0
2015-02-08,9.0,45.0,5.45,5.0
2015-02-08,10.0,62.92,5.0,11.67
2015-02-08,11.0,68.46,20.77,22.92
2015-02-08,12.0,60.83,28.85,35.0
2015-02-08,13.0,80.0,27.31,41.54
2015-02-08,14.0,73.08,25.0,42.92
2015-02-08,15.0,60.83,24.62,41.15
2015-02-08,16.0,77.5,18.75,29.58
2015-02-08,17.0,76.79,18.18,22.5
2015-02-08,18.0,51.67,5.0,13.33
2015-02-08,19.0,52.5,5.0,5.83
2015-02-08,20.0,61.67,5.0,4.62
2015-02-08,21.0,42.5,5.0,5.0
2015-02-08,22.0,46.15,5.0,5.0
2015-02-09,9.0,50.36,5.0,5.0
2015-02-09,10.0,70.83,6.25,5.36
2015-02-09,11.0,91.54,17.5,16.92
2015-02-09,12.0,73.33,27.27,21.15
2015-02-09,13.0,75.0,25.62,20.42
2015-02-09,14.0,65.0,,11.67
2015-02-09,15.0,45.0,,8.46
2015-02-09,16.0,54.58,,5.0
2015-02-09,17.0,28.33,,5.0
2015-02-09,18.0,27.5,,5.0
2015-02-09,19.0,20.0,,5.0
2015-02-09,20.0,21.54,,5.0
2015-02-09,21.0,20.83,,
2015-02-10,9.0,46.15,5.0,5.0
2015-02-10,10.0,58.93,10.77,5.0
2015-02-10,11.0,64.62,27.22,5.0
2015-02-10,12.0,65.83,,
2015-02-10,13.0,82.92,25.0,15.0
2015-02-10,14.0,102.5,38.75,
2015-02-10,15.0,75.0,34.0,
2015-02-10,16.0,81.54,50.0,
2015-02-10,17.0,96.92,49.0,
2015-02-10,18.0,66.92,,
2015-02-10,19.0,62.73,,
2015-02-10,20.0,52.5,,
2015-02-10,21.0,42.86,,
2015-02-10,22.0,29.17,,5.0
2015-02-11,9.0,45.0,6.36,5.0
2015-02-11,10.0,60.36,11.15,6.25
2015-02-11,11.0,72.5,25.36,10.0
2015-02-11,12.0,62.5,36.15,14.23
2015-02-11,13.0,74.58,38.18,24.62
2015-02-11,14.0,76.15,41.25,28.75
2015-02-11,15.0,65.0,40.83,19.58
2015-02-11,16.0,78.33,42.08,31.54
2015-02-11,17.0,83.33,33.08,17.08
2015-02-11,18.0,56.67,38.85,5.42
2015-02-11,19.0,66.67,28.33,5.0
2015-02-11,20.0,35.83,15.0,5.0
2015-02-11,21.0,36.92,5.0,5.0
2015-02-12,9.0,54.17,7.08,5.0
2015-02-12,10.0,62.5,25.0,15.77
2015-02-12,11.0,75.83,37.92,29.17
2015-02-12,12.0,70.83,44.17,36.92
2015-02-12,13.0,70.91,41.25,38.33
2015-02-12,14.0,91.43,38.33,32.08
2015-02-12,15.0,80.83,42.73,28.75
2015-02-12,16.0,67.5,51.15,43.33
2015-02-12,17.0,87.5,37.5,27.92
2015-02-12,18.0,81.54,32.27,14.55
2015-02-12,19.0,70.0,26.25,5.0
2015-02-12,20.0,49.0,9.17,5.0
2015-02-12,21.0,53.85,5.0,5.0
2015-02-13,8.0,45.0,,5.0
2015-02-13,9.0,58.85,5.91,5.0
2015-02-13,10.0,100.0,18.75,5.42
2015-02-13,11.0,81.67,35.0,17.08
2015-02-13,12.0,68.46,44.17,22.08
2015-02-13,13.0,81.0,47.08,30.0
2015-02-13,14.0,96.43,45.0,40.42
2015-02-13,15.0,100.0,53.57,27.86
2015-02-13,16.0,101.67,41.25,39.58
2015-02-13,17.0,98.89,29.58,22.92
2015-02-13,18.0,75.0,31.25,10.77
2015-02-13,19.0,59.17,25.42,10.0
2015-02-13,20.0,75.83,19.17,9.58
2015-02-13,21.0,79.17,9.17,5.0
2015-02-13,22.0,45.83,10.0,5.0
2015-02-14,8.0,53.57,5.0,5.0
2015-02-14,9.0,75.0,6.54,5.0
2015-02-14,10.0,74.58,21.0,6.5
2015-02-14,11.0,80.83,37.5,10.83
2015-02-14,12.0,100.36,46.88,18.33
2015-02-14,13.0,116.25,58.33,29.17
2015-02-14,14.0,141.43,,52.08
2015-02-14,15.0,150.0,,47.08
2015-02-14,16.0,134.17,57.0,62.08
2015-02-14,17.0,111.54,90.0,40.0
2015-02-14,18.0,120.0,87.5,22.92
2015-02-14,19.0,136.67,74.0,10.0
2015-02-14,20.0,119.17,65.0,5.42
2015-02-14,21.0,67.5,,5.0
2015-02-14,22.0,80.0,,5.0
2015-02-15,8.0,56.25,,5.0
2015-02-15,9.0,65.0,,5.77
2015-02-15,10.0,93.75,,28.33
2015-02-15,11.0,115.0,,55.42
2015-02-15,12.0,133.85,,50.0
2015-02-15,13.0,103.75,,77.08
2015-02-15,14.0,96.67,47.5,92.08
2015-02-15,15.0,115.38,70.0,70.0
2015-02-15,16.0,120.0,77.5,53.75
2015-02-15,17.0,116.67,81.67,43.0
2015-02-15,18.0,100.42,72.92,
2015-02-15,19.0,92.5,58.33,15.0
2015-02-15,20.0,95.83,46.25,13.33
2015-02-15,21.0,82.31,37.69,5.0
2015-02-15,22.0,61.67,29.62,5.0
2015-02-16,8.0,50.42,5.0,5.0
2015-02-16,9.0,74.64,9.64,6.88
2015-02-16,10.0,110.0,35.42,31.43
2015-02-16,11.0,97.86,70.42,40.83
2015-02-16,12.0,92.67,79.17,52.5
2015-02-16,13.0,113.33,63.85,53.46
2015-02-16,14.0,137.5,68.75,62.69
2015-02-16,15.0,133.33,65.0,79.17
2015-02-16,16.0,109.17,65.45,73.75
2015-02-16,17.0,85.83,66.36,47.92
2015-02-16,18.0,83.33,54.58,31.67
2015-02-16,19.0,103.33,40.83,15.83
2015-02-16,20.0,103.85,34.17,8.46
2015-02-16,21.0,68.33,21.15,7.86
2015-02-16,22.0,51.79,11.92,6.25
2015-02-17,8.0,50.0,3.33,5.0
2015-02-17,9.0,70.0,12.5,9.23
2015-02-17,10.0,71.67,30.0,36.82
2015-02-17,11.0,80.83,50.0,61.15
2015-02-17,12.0,90.0,34.17,34.17
2015-02-17,13.0,96.25,50.0,55.0
2015-02-17,14.0,124.17,39.58,38.75
2015-02-17,15.0,130.91,40.91,37.5
2015-02-17,16.0,62.5,50.0,29.17
2015-02-17,17.0,50.0,26.67,15.0
2015-02-17,18.0,46.67,7.31,
2015-02-17,19.0,28.0,5.0,6.25
2015-02-17,20.0,39.17,5.0,
2015-02-17,21.0,35.42,5.0,5.5
2015-02-17,22.0,32.08,5.0,5.0
2015-02-18,8.0,61.25,5.0,5.0
2015-02-18,9.0,78.0,7.92,5.0
2015-02-18,10.0,,31.67,8.75
2015-02-18,11.0,,44.17,15.83
2015-02-18,12.0,101.67,36.25,32.08
2015-02-18,13.0,125.38,65.0,39.17
2015-02-18,14.0,142.31,63.75,37.5
2015-02-18,15.0,162.5,54.62,37.08
2015-02-18,16.0,170.0,72.0,45.42
2015-02-18,17.0,,,28.75
2015-02-18,18.0,120.0,43.89,17.92
2015-02-18,19.0,99.17,54.23,5.0
2015-02-18,20.0,92.5,,5.0
2015-02-18,21.0,60.77,23.33,5.0
2015-02-18,22.0,51.67,12.5,5.0
2015-02-19,9.0,,6.0,5.0
2015-02-19,10.0,,25.36,5.0
2015-02-19,11.0,,36.36,5.0
2015-02-19,12.0,,50.0,6.15
2015-02-19,13.0,,39.17,6.67
2015-02-19,14.0,,52.73,10.83
2015-02-19,15.0,,48.18,11.67
2015-02-19,16.0,,76.25,15.83
2015-02-19,17.0,114.44,52.27,14.17
2015-02-19,18.0,116.67,37.27,5.0
2015-02-19,19.0,115.83,31.25,5.0
2015-02-19,20.0,86.43,24.17,5.0
2015-02-19,21.0,50.0,7.5,5.0
2015-02-19,22.0,64.17,5.0,5.0
2015-02-20,9.0,55.38,5.83,5.0
2015-02-20,10.0,79.0,6.43,5.0
2015-02-20,11.0,98.46,30.0,5.42
2015-02-20,12.0,104.44,40.5,9.17
2015-02-20,13.0,120.0,44.64,18.46
2015-02-20,14.0,102.22,51.54,26.67
